latitude;longitude;name;id_country;;;;;
52132633;5291266;Países Bajos;;52.132633;5.291266;;done;
30375321;69345116;Pakistán;;30.375321;69.345116;;done;
7514980;134582520;Palaos;;7.51498;134.58252;;done;
8537981;-80,782,127;Panamá;;8.537981;-80.782127;;done;
-6314993;143955550;Papúa Nueva Guinea;;-6.314993;143.95555;;done;
-23442503;-58,443,832;Paraguay;;-23.442503;-58.443832;;done;
-9189967;-75,015,152;Perú;;-9.189967;-75.015152;;done;
-17679742;-149406843;Polinesia Francesa;;-17.679742;-149.406843;;done;
51919438;19145136;Polonia;;51.919438;19.145136;;done;
39399872;-8,224,454;Portugal;;39.399872;-8.224454;;done;
18220833;-66,590,149;Puerto Rico;;18.220833;-66.590149;;done ;
55378051;-3435973;Reino Unido;;55.378051;-3.435973;;done;
18735693;-70,162,651;República Dominicana;37;18.735693;-70.162651;;done;
6611111;20939444;República Centroafricana;23;6.611111;20.939444;;done;
49817492;15472962;República Checa;;49.817492;15.472962;;done;
-21115141;55536384;Reunión;;-21.115141;55.536384;;done;
-1940278;29873888;Ruanda;;-1.940278;29.873888;;done;
45943161;24966760;Rumania;;45.943161;24.96676;;done;
61524010;105318756;Rusia;;61.52401;105.318756;;done;
24215527;-12885834;Sahara Occidental;;24.215527;-12.885834;;done;
-13759029;-172,104,629;Samoa;;-13.759029;-172.104629;;done;
17357822;-62,782,998;San Cristóbal y Nieves;;17.357822;-62.782998;;done;
4394236;12457777;San Marino;;4.394236;12.457777;;done;
46941936;-56,271,110;San Pedro y Miquelón;;46.941936;-56.27111;;done;
12984305;-61,287,228;San Vicente y las Granadinas;;12.984305;-61.287228;;done;
13909444;-60,978,893;Santa Lucía;;13.909444;-60.978893;;done;
-2226220;-80858730;Santa Elena;;-2.22622;-80.85873;;done;
186360;6613081;Santo Tomé y Príncipe;;0.18636;6.613081;;done;
14497401;-14,452,362;Senegal;;14.497401;-14.452362;;done;
44016521;21005859;Serbia;;44.016521;21.005859;;done;
-4,679,574;55491977;Seychelles;;-4.679574;55.491977;;done;
8460555;-11779889;Sierra Leona;;8.460555;-11.779889;;done;
1352083;103819836;Singapur;;1.352083;103.819836;;done;
34802075;38996815;Siria;;34.802075;38.996815;;done;
5152149;46199616;Somalia;;5.152149;46.199616;;done;
7873054;80771797;Sri Lanka;;7.873054;80.771797;;done ;
-26522503;31465866;Suazilandia;44;-26.522503;31.465866;;done;
-30,559,482;22937506;Sudáfrica;;-30.559482;22.937506;;done;
12862807;30217636;Sudán;;12.862807;30.217636;;done;
60128161;18643501;Suecia;;60.128161;18.643501;;done;
46818188;8227512;Suiza;;46.818188;8.227512;;done ;
3919305;-56,027,783;Surinam;;3.919305;-56.027783;;done;
